url;threatType;platformType;threatEntryType
suchso.com;MALWARE;ANY_PLATFORM;URL
theultimatesystems-forvideoupgrade.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
pleaseupdatesysformacandpc.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
thesafestandultimate-softsystem.top;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
theperfectsoftsystems-4videopcandmac.download;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
keyupgradesysforpcandmac.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
xiugif.com;MALWARE;ANY_PLATFORM;URL
domainthesetandperfectfor2yousystem4free.bid;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
nowuptimefree4systemsmacandpc.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
perfect-codeforfreedeveloped4you.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
friendgroup.bid;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
setupupgradesysformacandpc.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
360xixi.com;MALWARE;ANY_PLATFORM;URL
heheme.com;MALWARE;ANY_PLATFORM;URL
cnxsku.net;MALWARE;ANY_PLATFORM;URL
horou.com;MALWARE;ANY_PLATFORM;URL
gorikonus.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
ultimatesetnewfreeforallupgradesystems.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
thesafestandultimatesoftsystem.download;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
thesafestandultimatesoftsystem.download;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
get24updatesysforpcandmac.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
thesafestandultimatesoftsystem.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
thesafestandultimatesoftsystem.pw;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
livesupdatesfreeforsyspcandmacalike.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
7khd.com;MALWARE;ANY_PLATFORM;URL
mimithe.com;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
fbuilty.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
get24updatesysforpcandmac.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
xunleige.com;MALWARE;ANY_PLATFORM;URL
livetvcafe.net;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
duniangxiaoshuo.com;MALWARE;ANY_PLATFORM;URL
sinoarch.cn;MALWARE;ANY_PLATFORM;URL
2nowupsysformacandpc.top;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
filmstore.in;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
perfect-codeforfreedevelopedforyou.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
vansoup.bid;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
91fanhuan.com;MALWARE;ANY_PLATFORM;URL
gie8aic.top;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
keynotesmedia4updatingnew.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
bingdian001.com;MALWARE;ANY_PLATFORM;URL
bingdian001.com;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
newsandtechadvicesset4ever.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
nowcheckfree4systemmacandpc.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
xun6.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
gambarmemek.online;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
option4life2.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
dominteye.club;MALWARE;ANY_PLATFORM;URL
perfectcodeforfreedeveloped4u.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
nowinstallupgradefreeforsystemssetpcandmac.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
wmshua.com;MALWARE;ANY_PLATFORM;URL
tubatianxia.com;MALWARE;ANY_PLATFORM;URL
upgradepcsafesystemset4now.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
gif66.com;MALWARE;ANY_PLATFORM;URL
alwaysnewpreparedformacandpc.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
nowinstallupgradefreeforsystemssetpcandmac.download;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
kanmeiju.net;MALWARE;ANY_PLATFORM;URL
110139.com;MALWARE;ANY_PLATFORM;URL
110139.com;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
ultimatesetnewfreeallsoftupgradesystems.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
sensational-gifts.review;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
theperfectsoftsystems-forvideopcandmacs.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
mayathis.com;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
mayathis.com;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
nowupgrade24freeforsystemsetpcandmac.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
thesafestmedia2update.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
thesafestmedia2update.bid;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
domainthesetandperfectfor2yousystem4free.top;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
cmmov.com;MALWARE;ANY_PLATFORM;URL
readynewsoftfree4pcandmac.top;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
y5y.com;MALWARE;ANY_PLATFORM;URL
readyupdatepreparedforfreesystems.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
freshupdatesysformacandpc.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
santico.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
facento.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
lastworkingfreeforpcandmacalike.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
readygosysforpcandmac.club;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
ultimatesetnewfreeallsoftupgradesystems.top;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
newsoftreadyfreeforsystemspcandmac.top;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
chromesapp.site;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
upgrade4lifesysformacandpc.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
newsandtechadvicesset4video.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
setupdate24preparedforfreesystems.win;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
btmee.net;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
51ra.com;MALWARE;ANY_PLATFORM;URL
nowfree4systemmacandpc.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
ultimatesetnewfreeforallupgradesystems.download;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
soft-centresystemspcandmacalikes.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
nowfree4systemmacandpc.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
bai-hui.top;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
videoandaudioforevernew.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
46g.cn;MALWARE;ANY_PLATFORM;URL
mimilege.com;UNWANTED_SOFTWARE;ANY_PLATFORM;URL
ultimatesetnewfreeforallupgradesystems.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
theultimatesystemforbigupgrading.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
updatesoftsysforpcandmac.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
keynotesmedia4updatinglalways.pro;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
thesafestandultimatecode4u.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
jinleizi.com;MALWARE;ANY_PLATFORM;URL
perfect-codeforfreedevelopedforyou.top;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
4007123123.com;MALWARE;ANY_PLATFORM;URL
queenshow.org;MALWARE;ANY_PLATFORM;URL
santico.top;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
softnewreadyfree4systemsmacandpc.info;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
upgrade4lifesysformacandpc.pw;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
sacrolim.bid;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
zunoxide.net;SOCIAL_ENGINEERING;ANY_PLATFORM;URL
